size,time,case
25,0.000004,w
25,0.000003,w
25,0.000002,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000003,w
25,0.000002,w
25,0.000003,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000002,w
25,0.000003,w
25,0.000003,w
25,0.000002,w
100,0.000018,w
100,0.000016,w
100,0.000016,w
100,0.000017,w
100,0.000016,w
100,0.000016,w
100,0.000016,w
100,0.000016,w
100,0.000016,w
100,0.000016,w
100,0.000016,w
100,0.000059,w
100,0.000025,w
100,0.000022,w
100,0.000023,w
100,0.000022,w
100,0.000023,w
100,0.000016,w
100,0.000016,w
100,0.000016,w
500,0.000629,w
500,0.000492,w
500,0.000562,w
500,0.000385,w
500,0.000441,w
500,0.000370,w
500,0.000400,w
500,0.000380,w
500,0.000399,w
500,0.000369,w
500,0.000406,w
500,0.000384,w
500,0.000521,w
500,0.000370,w
500,0.000462,w
500,0.000412,w
500,0.000404,w
500,0.000370,w
500,0.000394,w
500,0.000371,w
1000,0.002225,w
1000,0.002156,w
1000,0.001990,w
1000,0.002162,w
1000,0.002041,w
1000,0.003147,w
1000,0.002876,w
1000,0.001572,w
1000,0.001988,w
1000,0.001537,w
1000,0.001562,w
1000,0.001594,w
1000,0.001536,w
1000,0.001406,w
1000,0.001460,w
1000,0.001564,w
1000,0.001671,w
1000,0.001388,w
1000,0.001993,w
1000,0.001590,w
5000,0.043240,w
5000,0.038438,w
5000,0.036456,w
5000,0.036971,w
5000,0.038636,w
5000,0.036805,w
5000,0.036724,w
5000,0.036933,w
5000,0.036730,w
5000,0.037857,w
5000,0.045719,w
5000,0.038171,w
5000,0.037518,w
5000,0.037571,w
5000,0.037189,w
5000,0.038146,w
5000,0.037578,w
5000,0.037584,w
5000,0.037156,w
5000,0.037404,w
10000,0.156059,w
10000,0.150961,w
10000,0.146138,w
10000,0.146135,w
10000,0.145197,w
10000,0.152373,w
10000,0.151649,w
10000,0.146896,w
10000,0.152305,w
10000,0.154036,w
10000,0.159935,w
10000,0.149164,w
10000,0.208850,w
10000,0.297126,w
10000,0.173128,w
10000,0.174733,w
10000,0.158596,w
10000,0.151400,w
10000,0.153097,w
10000,0.156407,w